timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539760411070,717,HTTP Request,200,OK,Thread Group 1-2,text,true,,546,143,8,8,717,0,229
1539760411272,560,HTTP Request,200,OK,Thread Group 1-4,text,true,,549,143,9,9,560,0,231
1539760411787,232,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,10,10,232,0,0
1539760411833,236,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,11,11,236,0,0
1539760411627,465,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,143,11,11,465,0,230
1539760411425,699,HTTP Request,200,OK,Thread Group 1-5,text,true,,576,143,11,11,699,0,236
1539760411472,690,HTTP Request,200,OK,Thread Group 1-6,text,true,,512,143,12,12,690,0,223
1539760412020,264,HTTP Request,200,OK,Thread Group 1-2,text,true,,510,143,13,13,264,0,0
1539760412069,273,HTTP Request,200,OK,Thread Group 1-4,text,true,,542,143,14,14,273,0,0
1539760412092,290,HTTP Request,200,OK,Thread Group 1-7,text,true,,552,143,14,14,290,0,0
1539760412125,339,HTTP Request,200,OK,Thread Group 1-5,text,true,,552,143,15,15,339,0,0
1539760412163,314,HTTP Request,200,OK,Thread Group 1-6,text,true,,558,143,15,15,314,0,0
1539760412030,516,HTTP Request,200,OK,Thread Group 1-11,text,true,,510,143,16,16,516,0,234
1539760412131,460,HTTP Request,503,Service Not Available,Thread Group 1-12,text,false,,1098,143,16,16,460,0,235
1539760412383,222,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,143,16,16,222,0,0
1539760412478,221,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,17,17,221,0,0
1539760412464,236,HTTP Request,503,Service Not Available,Thread Group 1-5,text,false,,1098,143,17,17,236,0,0
1539760412285,456,HTTP Request,200,OK,Thread Group 1-2,text,true,,558,143,18,18,456,0,0
1539760412342,412,HTTP Request,200,OK,Thread Group 1-4,text,true,,570,143,18,18,412,0,0
1539760412606,229,HTTP Request,503,Service Not Available,Thread Group 1-7,text,false,,1098,143,18,18,229,0,0
1539760412334,538,HTTP Request,200,OK,Thread Group 1-14,text,true,,570,143,19,19,538,0,229
1539760412592,313,HTTP Request,200,OK,Thread Group 1-12,text,true,,576,143,19,19,313,0,0
1539760411730,1216,HTTP Request,200,OK,Thread Group 1-8,text,true,,515,143,20,20,1216,0,230
1539760412701,246,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,20,20,246,0,0
1539760412742,233,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,20,20,233,0,0
1539760412755,234,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,20,20,234,0,0
1539760412536,455,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,20,20,455,0,222
1539760412445,556,HTTP Request,200,OK,Thread Group 1-15,text,true,,552,143,20,20,556,0,232
1539760412700,336,HTTP Request,200,OK,Thread Group 1-5,text,true,,573,143,20,20,336,0,0
1539760412873,240,HTTP Request,503,Service Not Available,Thread Group 1-14,text,false,,1098,143,21,21,240,0,0
1539760412638,518,HTTP Request,200,OK,Thread Group 1-17,text,true,,574,143,21,21,518,0,231
1539760412948,235,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,22,22,235,0,0
1539760412906,298,HTTP Request,200,OK,Thread Group 1-12,text,true,,579,143,22,22,298,0,0
1539760412739,467,HTTP Request,503,Service Not Available,Thread Group 1-18,text,false,,1098,143,22,22,467,0,232
1539760412990,235,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,22,22,235,0,0
1539760412991,235,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,22,22,235,0,0
1539760413002,232,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,22,22,232,0,0
1539760412946,292,HTTP Request,200,OK,Thread Group 1-8,text,true,,540,143,22,22,292,0,0
1539760412975,268,HTTP Request,200,OK,Thread Group 1-2,text,true,,576,143,23,23,268,0,0
1539760413037,268,HTTP Request,200,OK,Thread Group 1-5,text,true,,506,143,23,23,268,0,0
1539760413157,232,HTTP Request,503,Service Not Available,Thread Group 1-17,text,false,,1098,143,24,24,232,0,0
1539760412234,1166,HTTP Request,503,Service Not Available,Thread Group 1-13,text,false,,1098,143,24,24,1166,0,233
1539760413184,235,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,24,24,235,0,0
1539760413205,230,HTTP Request,503,Service Not Available,Thread Group 1-12,text,false,,1098,143,24,24,230,0,0
1539760413225,229,HTTP Request,503,Service Not Available,Thread Group 1-4,text,false,,1098,143,25,25,229,0,0
1539760413227,230,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,25,25,230,0,0
1539760413235,229,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,25,25,229,0,0
1539760413239,232,HTTP Request,503,Service Not Available,Thread Group 1-8,text,false,,1098,143,25,25,232,0,0
1539760412840,678,HTTP Request,200,OK,Thread Group 1-19,text,true,,548,143,25,25,678,0,232
1539760412547,979,HTTP Request,200,OK,Thread Group 1-11,text,true,,558,143,25,25,979,0,0
1539760413113,463,HTTP Request,200,OK,Thread Group 1-14,text,true,,518,143,26,26,463,0,0
1539760413040,553,HTTP Request,503,Service Not Available,Thread Group 1-21,text,false,,1098,143,26,26,553,0,231
1539760413306,306,HTTP Request,200,OK,Thread Group 1-5,text,true,,543,143,26,26,306,0,0
1539760413180,448,HTTP Request,503,Service Not Available,Thread Group 1-22,text,false,,1098,143,26,26,448,0,232
1539760413419,219,HTTP Request,503,Service Not Available,Thread Group 1-6,text,false,,1098,143,26,26,219,0,0
1539760412836,809,HTTP Request,200,OK,Thread Group 1-7,text,true,,561,143,27,27,809,0,0
1539760413390,261,HTTP Request,200,OK,Thread Group 1-17,text,true,,510,143,27,27,261,0,0
1539760413457,219,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,27,27,219,0,0
1539760413465,217,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,27,27,217,0,0
1539760413242,441,HTTP Request,503,Service Not Available,Thread Group 1-23,text,false,,1098,143,27,27,441,0,223
1539760413472,234,HTTP Request,503,Service Not Available,Thread Group 1-8,text,false,,1098,143,27,27,234,0,0
1539760413244,464,HTTP Request,503,Service Not Available,Thread Group 1-2,text,false,,1098,143,27,27,464,0,232
1539760413400,351,HTTP Request,200,OK,Thread Group 1-13,text,true,,510,143,28,28,351,0,0
1539760413527,234,HTTP Request,503,Service Not Available,Thread Group 1-11,text,false,,1098,143,28,28,234,0,0
1539760413435,337,HTTP Request,200,OK,Thread Group 1-12,text,true,,552,143,28,28,337,0,0
1539760413577,225,HTTP Request,503,Service Not Available,Thread Group 1-14,text,false,,1098,143,28,28,225,0,0
1539760413519,297,HTTP Request,200,OK,Thread Group 1-19,text,true,,570,143,28,28,297,0,0
1539760413594,264,HTTP Request,200,OK,Thread Group 1-21,text,true,,523,143,29,29,264,0,0
1539760413629,263,HTTP Request,200,OK,Thread Group 1-22,text,true,,524,143,29,29,263,0,0
1539760413677,231,HTTP Request,503,Service Not Available,Thread Group 1-16,text,false,,1098,143,29,29,231,0,0
1539760413683,229,HTTP Request,503,Service Not Available,Thread Group 1-23,text,false,,1098,143,29,29,229,0,0
1539760413683,230,HTTP Request,503,Service Not Available,Thread Group 1-15,text,false,,1098,143,29,29,230,0,0
1539760413651,275,HTTP Request,200,OK,Thread Group 1-17,text,true,,574,143,29,29,275,0,0
