time,title,link,read
2018-12-25,寒冬、裁员？！你想知道的真相都在这里,https://blog.51cto.com/xqtesting/2334858, 666
2018-06-19,移动端学习笔记（小强测试品牌学员作品）,https://blog.51cto.com/xqtesting/2130438, 1752
2017-10-30,测试工程师值得被尊重！不知你是否也有此共鸣！,https://blog.51cto.com/xqtesting/1977279, 10000+
2017-07-13,送给那些有代码基础但仍旧不会学自动化测试的朋友们,https://blog.51cto.com/xqtesting/1946934, 10000+
2017-02-27,10年手工测试的迷茫，值得每个人深思,https://blog.51cto.com/xqtesting/1901525, 10000+
7 天前,Python基础学习篇-4-常用的正则表达式处理函数,https://blog.51cto.com/xqtesting/2365638, 46
8 天前,聊聊如何在职场中快速成长【必看好文】,https://blog.51cto.com/xqtesting/2364639, 41
13 天前,痛并快乐的面试记录,https://blog.51cto.com/xqtesting/2362721, 101
15 天前,Python基础学习篇-3- 如何使用 各种占位符 和 %方式 Format方式 进行格式化输出？,https://blog.51cto.com/xqtesting/2361234, 27
19 天前,Python基础学习篇-2-数值运算和字符串,https://blog.51cto.com/xqtesting/2359816, 33
21 天前,Python基础学习篇-1-编码-交互模式-注释,https://blog.51cto.com/xqtesting/2358751, 49
27 天前,零经验噩梦般的面试,https://blog.51cto.com/xqtesting/2355862, 135
28 天前,jmeter学习指南之生成html性能结果报告（篇幅较长谨慎阅读）,https://blog.51cto.com/xqtesting/2355040, 428
2019-02-23,jmeter学习指南之操作 mysql 数据库,https://blog.51cto.com/xqtesting/2353960, 125
2019-02-20,jmeter学习指南之源码导入 IntelliJ IDEA,https://blog.51cto.com/xqtesting/2352626, 50
2019-02-18,LoadRunner中文出现乱码的解决办法,https://blog.51cto.com/xqtesting/2351503, 41
2019-02-17,一根老油条的面试记录,https://blog.51cto.com/xqtesting/2351017, 188
2019-02-14,公开课视频-浅谈前端性能测试,https://blog.51cto.com/xqtesting/2350360, 69
2019-02-14,jmeter学习指南之Beanshell 调用 java 代码的三种方式,https://blog.51cto.com/xqtesting/2350128, 76
2019-02-12,jmeter学习指南之OOM和监听器使用,https://blog.51cto.com/xqtesting/2349498, 64
2019-02-11,jmeter学习指南之中文乱码,https://blog.51cto.com/xqtesting/2349276, 66
2019-02-10,jmeter学习指南之Beanshell Sampler 常用方法,https://blog.51cto.com/xqtesting/2349092, 90
2019-02-09,jmeter学习指南之HTTP请求中自动重定向和跟随重定向的区别,https://blog.51cto.com/xqtesting/2349040, 92
2019-02-08,jmeter学习指南之Boundary Extractor和正则表达式提取器,https://blog.51cto.com/xqtesting/2348966, 88
2019-02-06,jmeter执行结束报错：The JVM should have exitted but did n,https://blog.51cto.com/xqtesting/2348822, 63
2019-02-05,jmeter学习指南之优化脚本,https://blog.51cto.com/xqtesting/2348795, 94
2019-01-28,jmeter学习指南之非GUI命令行运行详解,https://blog.51cto.com/xqtesting/2347422, 63
2019-01-27,浅谈前端性能测试-测试帮日记公开课,https://blog.51cto.com/xqtesting/2347022, 93
2019-01-24,jmeter学习指南之分布式测试的来龙去脉,https://blog.51cto.com/xqtesting/2346420, 75
2019-01-24,测试人员如何安然度过寒冬？送上暖心良药,https://blog.51cto.com/xqtesting/2346409, 63
2019-01-20,Offer一个候选人的正确姿势,https://blog.51cto.com/xqtesting/2344726, 125
2019-01-18,redis监控工具之redis-live,https://blog.51cto.com/xqtesting/2344368, 70
2019-01-15,jmeter学习指南之结果分析-图形图表,https://blog.51cto.com/xqtesting/2343124, 79
2019-01-14,jmeter学习指南之聚合报告,https://blog.51cto.com/xqtesting/2342632, 58
2019-01-13,jmeter学习指南之察看结果树，你知道都有哪些功能吗,https://blog.51cto.com/xqtesting/2342223, 72
2019-01-08,jmeter学习指南之快速玩转16个逻辑控制器,https://blog.51cto.com/xqtesting/2340015, 390
2019-01-06,jmeter学习指南之关联,https://blog.51cto.com/xqtesting/2339430, 327
2019-01-03,jmeter学习指南之响应断言和beanshell断言,https://blog.51cto.com/xqtesting/2338464, 102
2019-01-02,jmeter学习指南之深入分析跨域传递cookie,https://blog.51cto.com/xqtesting/2338048, 73
2019-01-01,jmeter学习指南之管理Cookies,https://blog.51cto.com/xqtesting/2337599, 70
2018-12-29,jmeter学习指南之参数化CSV Data Set Config,https://blog.51cto.com/xqtesting/2336802, 120
2018-12-28,jmeter学习指南之详解jmeter线程组,https://blog.51cto.com/xqtesting/2336382, 98
2018-12-27,jmeter学习指南之测试计划详解,https://blog.51cto.com/xqtesting/2335809, 147
2018-12-26,性能测试工具JMeter的安装及环境配置--Windows和Linux,https://blog.51cto.com/xqtesting/2335372, 99
2018-12-23,linux centos 如何查看操作系统版本信息？,https://blog.51cto.com/xqtesting/2334305, 71
2018-12-21,使用ADB连接机顶盒并抓取设备操作日志,https://blog.51cto.com/xqtesting/2333691, 121
2018-12-20,2018年的我是怎么活下来的，过于真实了哈哈哈哈,https://blog.51cto.com/xqtesting/2333183, 126
2018-12-19,JMeter压力测试(流程骨架/抢红包举例实战/多场景多线程组混合并发),https://blog.51cto.com/xqtesting/2332669, 342
2018-12-14,接口测试是什么&接口测试文档规范,https://blog.51cto.com/xqtesting/2330652, 268
2018-12-10,TCPCopy 线上流量复制工具,https://blog.51cto.com/xqtesting/2328414, 172
2018-12-05,薪资留人还是情感留人？,https://blog.51cto.com/xqtesting/2326253, 90
2018-12-04,【毕业寄语】逆境中的成长更需要态度和方法（无鸡汤）,https://blog.51cto.com/xqtesting/2325697, 112
2018-12-03,LoadRunner中多值关联的3种处理方式,https://blog.51cto.com/xqtesting/2325092, 107
2018-11-30,人的差异在于业余时间,https://blog.51cto.com/xqtesting/2324123, 122
2018-11-29,一次性能测试调优总结,https://blog.51cto.com/xqtesting/2323510, 172
2018-11-28,深入理解Loadrunner中的Browser Emulation,https://blog.51cto.com/xqtesting/2322914, 86
2018-11-27,JAVA + LR实现apache流媒体的性能测试,https://blog.51cto.com/xqtesting/2322457, 79
2018-11-07,请不要做“奋斗逼”，戳中你的痛,https://blog.51cto.com/xqtesting/2313747, 141
2018-11-01,什么事，是你做了领导后才明白的？,https://blog.51cto.com/xqtesting/2311717, 202
2018-10-31,selenium3 webdriver启动火狐、chrome、edge、Safari浏览器的方法,https://blog.51cto.com/xqtesting/2310946, 483
2018-10-28,对于新旧技术的争论，我很low的想法,https://blog.51cto.com/xqtesting/2309964, 96
2018-10-17,你人再好有屁用？（火了）,https://blog.51cto.com/xqtesting/2300928, 179
2018-10-09,为什么你有10年工作经验，却根本不值钱？（深度好文）,https://blog.51cto.com/xqtesting/2296516, 358
